what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362767185957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767188572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767195510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362767225353
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362767227891
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362767238041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362767241141
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767246730
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767249033
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362767268957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767291773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767292285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767310635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767311140
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362767495784
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767503765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767505776
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362767506649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362767511747
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767539420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767539708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362767554867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767562758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767563357
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362767600064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767615620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767616012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362767655600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767656929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767657278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362767667974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362767671602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767672972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767673294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362767676098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767744388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362767745189
