what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773207613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773213267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773221363
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773222152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773254838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773255438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773278056
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773278694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773298198
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773298734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773301380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773342424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773388604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773394566
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773411008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773412548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362773413349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773417280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773417846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773419396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773460170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773469196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773497595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773498310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773511905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362773515936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362773526986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362773528521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773530417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773530732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773551170
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773551847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773568012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773710589
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1362773712988
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362773713211
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362773713340
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362773721170
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1362773723065
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1362773723724
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1362773724938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362773725974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362773765788
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362773773352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362773774668
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362773775360
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773781278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773909422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362773918851
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773919293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773993024
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362773994057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362773995188
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774103145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774109110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774121464
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774124247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362774128001
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1362774141710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774142831
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774143598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774213846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774214680
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1362774241029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362774263835
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362774264419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774268454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774269159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774287589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774288190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362774308873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774309642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774310334
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1362774331854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362774344559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774346623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362774364247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774366697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774367720
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362774425251
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362774427010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774439507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774439999
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1362774473990
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774482791
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774487224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774493210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774493700
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774496312
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774501479
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774512192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774543992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774544446
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774563687
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774565943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774583737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774584207
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774584574
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774584967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774585383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774586009
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774588064
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774604018
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774605673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774609403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774707301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774709820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774711727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362774717752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774722955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774723212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362774739494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774740321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362774740639
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1362774762990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774766073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774767088
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1362774767584
